Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2022;04;"Paulínia - SP";88388696;37157519
2022;04;"Campinas - SP";77265339;15923938
2022;03;"Campinas - SP";76172792;16728271
2022;03;"Paulínia - SP";74870367;33202501
2022;03;"Indaiatuba - SP";71494855;9616611
2022;02;"Indaiatuba - SP";71453328;9487070
2022;02;"Campinas - SP";67788017;16858553
2022;04;"Indaiatuba - SP";67103872;8019502
2022;01;"Paulínia - SP";67040699;27378264
2022;02;"Paulínia - SP";61705349;26942049
2022;04;"Santa Bárbara d'Oeste - SP";54990183;1589911
2022;01;"Campinas - SP";53073021;15791017
2022;01;"Indaiatuba - SP";52373080;7462744
2022;03;"Santa Bárbara d'Oeste - SP";49441976;1411440
2022;03;"Sumaré - SP";40106897;6866245
2022;02;"Vinhedo - SP";33645559;6666397
2022;02;"Sumaré - SP";33624621;5458151
2022;03;"Vinhedo - SP";33377253;6165373
2022;04;"Vinhedo - SP";32412516;5588332
2022;04;"Sumaré - SP";31413111;5401176
2022;01;"Sumaré - SP";31053277;5248511
2022;01;"Vinhedo - SP";27194960;4808038
2022;03;"Santo Antônio de Posse - SP";17348503;1071193
2022;04;"Itatiba - SP";16297149;2211319
2022;04;"Valinhos - SP";14194907;1908616
2022;04;"Santo Antônio de Posse - SP";13980904;793407
2022;02;"Santo Antônio de Posse - SP";13404975;846106
2022;04;"Cosmópolis - SP";12847190;2019564
2022;02;"Valinhos - SP";11758604;1957439
2022;02;"Itatiba - SP";11463052;1999400
2022;03;"Valinhos - SP";11291732;2268330
2022;01;"Valinhos - SP";11065541;1654320
2022;01;"Itatiba - SP";10694743;1310863
2022;03;"Cosmópolis - SP";10286086;3248852
2022;03;"Itatiba - SP";9957277;1501678
2022;03;"Nova Odessa - SP";8723391;1530044
2022;02;"Cosmópolis - SP";8541721;3054006
2022;04;"Nova Odessa - SP";8483741;1066525
2022;01;"Cosmópolis - SP";8141033;1999548
2022;02;"Nova Odessa - SP";7832856;1287821
2022;01;"Santa Bárbara d'Oeste - SP";6976297;1022668
2022;03;"Hortolândia - SP";6936202;233620
2022;01;"Nova Odessa - SP";6752274;757224
2022;04;"Jaguariúna - SP";5920268;1590919
2022;02;"Monte Mor - SP";5431141;1698149
2022;01;"Monte Mor - SP";5424292;1449000
2022;03;"Monte Mor - SP";5263092;1290002
2022;04;"Hortolândia - SP";5261103;739380
2022;04;"Monte Mor - SP";4931780;1495641
2022;02;"Santa Bárbara d'Oeste - SP";4829504;769166
2022;02;"Pedreira - SP";4800881;866746
2022;02;"Hortolândia - SP";4723813;837668
2022;02;"Jaguariúna - SP";4270297;1378059
2022;04;"Pedreira - SP";3994028;902084
2022;03;"Jaguariúna - SP";3928311;1176970
2022;01;"Hortolândia - SP";3890396;203969
2022;01;"Santo Antônio de Posse - SP";3828760;310081
2022;01;"Jaguariúna - SP";3091421;657815
2022;01;"Pedreira - SP";3077962;733709
2022;03;"Pedreira - SP";2920252;768412
2022;04;"Artur Nogueira - SP";2216735;953078
2022;03;"Artur Nogueira - SP";1978818;547420
2022;02;"Artur Nogueira - SP";1271300;413347
2022;01;"Artur Nogueira - SP";546763;92263
2022;03;"Holambra - SP";295650;3343
2022;04;"Engenheiro Coelho - SP";118821;40686
2022;04;"Morungaba - SP";113557;3884
2022;02;"Morungaba - SP";106018;4170
2022;02;"Holambra - SP";84354;4169
2022;01;"Morungaba - SP";79230;1897
2022;01;"Holambra - SP";40243;1473
2022;04;"Holambra - SP";32742;490
2022;01;"Engenheiro Coelho - SP";31485;6255
2022;02;"Engenheiro Coelho - SP";28383;5312
2022;03;"Engenheiro Coelho - SP";23819;4613
2022;03;"Morungaba - SP";9473;180
2021;09;"Indaiatuba - SP";85937795;10785161
2021;08;"Paulínia - SP";85861824;41517885
2021;12;"Campinas - SP";84526014;22618063
2021;09;"Paulínia - SP";83998167;33947602
2021;05;"Santa Bárbara d'Oeste - SP";81706638;2178531
2021;08;"Campinas - SP";79914955;24967919
2021;09;"Campinas - SP";76744653;25549656
2021;10;"Campinas - SP";76319284;22540273
2021;12;"Paulínia - SP";76220310;28086246
2021;11;"Campinas - SP";75357074;23660846
2021;10;"Paulínia - SP";72132477;29673360
2021;04;"Campinas - SP";72109566;16719354
2021;07;"Paulínia - SP";70269118;24575166
2021;11;"Paulínia - SP";69541150;25330276
2021;08;"Indaiatuba - SP";69224585;9303791
2021;06;"Paulínia - SP";66792826;27338100
2021;05;"Campinas - SP";66341133;16336865
2021;10;"Indaiatuba - SP";65569641;8083529
2021;12;"Indaiatuba - SP";64837740;8445746
2021;06;"Campinas - SP";64670245;15220635
2021;04;"Paulínia - SP";63133903;25414189
2021;03;"Paulínia - SP";62184377;27935973
2021;11;"Indaiatuba - SP";61771076;8262884
2021;03;"Campinas - SP";60231311;16876203
2021;07;"Campinas - SP";58744695;18541404
2021;05;"Paulínia - SP";57729513;20416621
2021;03;"Indaiatuba - SP";53242393;7060056
2021;01;"Campinas - SP";52938681;17698015
2021;02;"Indaiatuba - SP";50077735;6413070
2021;01;"Indaiatuba - SP";48217504;5810090
2021;07;"Indaiatuba - SP";48217277;5661382
2021;02;"Campinas - SP";47423935;13976463
2021;06;"Indaiatuba - SP";47235461;6703136
2021;04;"Indaiatuba - SP";46364988;5933878
2021;05;"Indaiatuba - SP";45717522;6529033
2021;02;"Paulínia - SP";44026728;24015966
2021;01;"Paulínia - SP";43616330;28653894
2021;07;"Santa Bárbara d'Oeste - SP";41456739;1043022
2021;12;"Sumaré - SP";37089820;5942893
2021;11;"Sumaré - SP";34151798;5957591
2021;09;"Sumaré - SP";33682220;5707129
2021;10;"Sumaré - SP";32727882;6128824
2021;09;"Vinhedo - SP";32654003;6547720
2021;08;"Sumaré - SP";32302357;6108003
2021;12;"Vinhedo - SP";31789528;5913768
2021;07;"Sumaré - SP";31222047;5624052
2021;04;"Sumaré - SP";31000463;5717800
2021;05;"Sumaré - SP";29345984;5512781
2021;11;"Vinhedo - SP";29073180;5573681
2021;03;"Sumaré - SP";28765871;5673128
2021;06;"Sumaré - SP";28321393;5459167
2021;10;"Vinhedo - SP";27666181;5682362
2021;08;"Vinhedo - SP";27489899;5591144
2021;05;"Vinhedo - SP";27147976;6639606
2021;06;"Vinhedo - SP";26982967;5853265
2021;02;"Sumaré - SP";26926407;4923750
2021;07;"Vinhedo - SP";26529107;5541285
2021;03;"Vinhedo - SP";26391652;6097496
2021;04;"Vinhedo - SP";25126086;5666095
2021;01;"Sumaré - SP";24287342;4932991
2021;02;"Vinhedo - SP";24086164;6131175
2021;01;"Vinhedo - SP";22304216;4267559
2021;07;"Cosmópolis - SP";20933273;30200659
2021;09;"Cosmópolis - SP";18072779;18462520
2021;08;"Santo Antônio de Posse - SP";17951638;1002697
2021;05;"Cosmópolis - SP";17179790;21328078
2021;06;"Cosmópolis - SP";17034353;17847131
2021;04;"Cosmópolis - SP";16148727;3822536
2021;08;"Cosmópolis - SP";15875345;22193837
2021;11;"Santo Antônio de Posse - SP";14437936;1020361
2021;04;"Santo Antônio de Posse - SP";13815363;936081
2021;06;"Santo Antônio de Posse - SP";13743097;893071
2021;02;"Santo Antônio de Posse - SP";13601872;943857
2021;09;"Itatiba - SP";13490550;1779584
2021;10;"Santo Antônio de Posse - SP";13459912;900090
2021;12;"Valinhos - SP";13200669;2178525
2021;11;"Itatiba - SP";13189089;1745355
2021;07;"Itatiba - SP";13064997;1775872
2021;12;"Itatiba - SP";13034493;1780562
2021;07;"Santo Antônio de Posse - SP";12928010;758952
2021;03;"Santo Antônio de Posse - SP";12735492;792684
2021;04;"Itatiba - SP";12695330;1715492
2021;12;"Santo Antônio de Posse - SP";12377740;819769
2021;10;"Itatiba - SP";12303096;1285835
2021;12;"Cosmópolis - SP";11940135;2350554
2021;05;"Itatiba - SP";11901364;1424696
2021;02;"Cosmópolis - SP";11842577;4076325
2021;10;"Cosmópolis - SP";11749504;13884053
2021;03;"Itatiba - SP";11746853;1749894
2021;08;"Itatiba - SP";11654441;1460822
2021;11;"Valinhos - SP";11618873;1620045
2021;05;"Santo Antônio de Posse - SP";11392903;841167
2021;03;"Valinhos - SP";11360916;1777950
2021;02;"Itatiba - SP";11344560;1574663
2021;10;"Santa Bárbara d'Oeste - SP";11332612;974162
2021;05;"Valinhos - SP";11256199;1614148
2021;03;"Santa Bárbara d'Oeste - SP";11195684;1218411
2021;11;"Santa Bárbara d'Oeste - SP";11175998;1157045
2021;12;"Santa Bárbara d'Oeste - SP";11138970;1336589
2021;10;"Monte Mor - SP";11084131;3055716
2021;03;"Cosmópolis - SP";11040892;2295419
