"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",5473280
1,"Animal Products",101,"Live animals",10102,"Bovine",220123264
1,"Animal Products",101,"Live animals",10103,"Pigs",3869149
1,"Animal Products",101,"Live animals",10105,"Poultry",79330593
1,"Animal Products",101,"Live animals",10106,"Other Animals",307026
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",779205488
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",6687268590
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",2126394117
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",3686039
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",7849561.000000001
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",433672828
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",5591398377
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",238245
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",1887782
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",267295778
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",5721992
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",30363187
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",99841888
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",11193163
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",28709648
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",82612222
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",419174
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",18034940
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",24986622
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1452098
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",1559277
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",1482181
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",19109059
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",42916054
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",5429457
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",98963634
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",7497101
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",777482.9999999999
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",252800
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",334169332
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",3196954
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",8727717
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",6234649
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",4834
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",88255574
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",174779384
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",5471217
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",6253827
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",980067
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2003687
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",3051329
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",1553281
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",9419266
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",782798
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",624639
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",4630882
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",152574
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",257451
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",9245985
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1019770
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",1460405
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",662998
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",150649585
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",6868247
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",114529221
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",21334426
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",26847961
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",289775555
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",119216814
