Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2022;04;"Artur Nogueira - SP";10870189;1928218
2022;04;"Campinas - SP";252874138;15285829
2022;04;"Cosmópolis - SP";15056331;292394
2022;04;"Engenheiro Coelho - SP";234117;114757
2022;04;"Holambra - SP";3123412;231504
2022;04;"Hortolândia - SP";66551623;2942753
2022;04;"Indaiatuba - SP";133090033;25725417
2022;04;"Itatiba - SP";39204765;6868609
2022;04;"Jaguariúna - SP";94298146;3091069
2022;04;"Monte Mor - SP";11093597;2983439
2022;04;"Morungaba - SP";1527588;668277
2022;04;"Nova Odessa - SP";8260699;1820058
2022;04;"Paulínia - SP";410052720;63474124
2022;04;"Pedreira - SP";686174;351003
2022;04;"Santa Bárbara d'Oeste - SP";16160499;1760097
2022;04;"Santo Antônio de Posse - SP";11367284;1307991
2022;04;"Sumaré - SP";70370982;16904116
2022;04;"Valinhos - SP";29896522;4030047
2022;04;"Vinhedo - SP";84028629;9532913
2022;03;"Artur Nogueira - SP";7569729;2552243
2022;03;"Campinas - SP";310022129;20717204
2022;03;"Cosmópolis - SP";10888558;133068
2022;03;"Engenheiro Coelho - SP";319725;187173
2022;03;"Holambra - SP";4826500;439314
2022;03;"Hortolândia - SP";70114323;2590507
2022;03;"Indaiatuba - SP";144065108;27487357
2022;03;"Itatiba - SP";38494999;6616387
2022;03;"Jaguariúna - SP";116164795;4366399
2022;03;"Monte Mor - SP";10731631;1581353
2022;03;"Morungaba - SP";873468;366576
2022;03;"Nova Odessa - SP";8006416;2509643
2022;03;"Paulínia - SP";416029158;55543347
2022;03;"Pedreira - SP";818816;200313
2022;03;"Santa Bárbara d'Oeste - SP";12001267;1629770
2022;03;"Santo Antônio de Posse - SP";19234829;895438
2022;03;"Sumaré - SP";81397295;25978319
2022;03;"Valinhos - SP";44511104;4112678
2022;03;"Vinhedo - SP";94991908;10758218
2022;02;"Artur Nogueira - SP";6234314;1138901
2022;02;"Campinas - SP";261853255;15859597
2022;02;"Cosmópolis - SP";5801081;141345
2022;02;"Engenheiro Coelho - SP";545336;472910
2022;02;"Holambra - SP";5517234;593848
2022;02;"Hortolândia - SP";71137619;4471158
