"";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"1";"SP";3412803;"COSMOPOLIS";41
"2";"SP";3409502;"CAMPINAS";41
"3";"SP";3415152;"ENGENHEIRO COELHO";41
"4";"SP";3456206;"VALINHOS";41
"5";"SP";3456701;"VINHEDO";41
"6";"SP";3423404;"ITATIBA";41
"7";"SP";3445803;"SANTA BARBARA D'OESTE";41
"8";"SP";3420509;"INDAIATUBA";41
"9";"SP";3433403;"NOVA ODESSA";41
"10";"SP";3424709;"JAGUARIUNA";41
"11";"SP";3452403;"SUMARE";41
"12";"SP";3419055;"HOLAMBRA";41
"13";"SP";3419071;"HORTOLANDIA";41
"14";"SP";3431803;"MONTE MOR";41
"15";"SP";3432009;"MORUNGABA";41
"16";"SP";3436505;"PAULINIA";41
"17";"SP";3403802;"ARTUR NOGUEIRA";41
"18";"SP";3437107;"PEDREIRA";41
"19";"SP";3510;"RMC";41
