"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"1";4786;"SP";3415806;"FLORA RICA";41
"2";4787;"SP";3415905;"FLOREAL";41
"3";4788;"SP";3408900;"CAIABU";41
"4";4789;"SP";3415707;"FERRAZ DE VASCONCELOS";41
"5";4790;"SP";3408801;"CAFELANDIA";41
"6";4791;"SP";3416309;"FRANCISCO MORATO";41
"7";4792;"SP";3415657;"FERNAO";41
"8";4793;"SP";3408702;"CACONDE";41
"9";4794;"SP";3411102;"CATANDUVA";41
"10";4795;"SP";3416002;"FLORIDA PAULISTA";41
"11";4796;"SP";3416101;"FLORINIA";41
"12";4797;"SP";3416200;"FRANCA";41
"13";4798;"SP";3411201;"CATIGUA";41
"14";4799;"SP";3409304;"CAJOBI";41
"15";4800;"SP";3415608;"FERNANDO PRESTES";41
"16";4801;"SP";3411003;"CASTILHO";41
"17";4802;"SP";3409254;"CAJATI";41
"18";4803;"SP";3412506;"COROADOS";41
"19";4804;"SP";3409007;"CAIEIRAS";41
"20";4805;"SP";3409106;"CAIUA";41
"21";4806;"SP";3412407;"CORDEIROPOLIS";41
"22";4807;"SP";3410302;"CAPELA DO ALTO";41
"23";4808;"SP";3410401;"CAPIVARI";41
"24";4809;"SP";3409403;"CAJURU";41
"25";4810;"SP";3409205;"CAJAMAR";41
"26";4811;"SP";3410708;"CARDOSO";41
"27";4812;"SP";3410807;"CASA BRANCA";41
"28";4813;"SP";3410906;"CASSIA DOS COQUEIROS";41
"29";4814;"SP";3408603;"CACHOEIRA PAULISTA";41
"30";4815;"SP";3409809;"CAMPOS NOVOS PAULISTA";41
"31";4816;"SP";3409908;"CANANEIA";41
"32";4817;"SP";3412605;"CORONEL MACEDO";41
"33";4818;"SP";3412704;"CORUMBATAI";41
"34";4819;"SP";3412803;"COSMOPOLIS";41
"35";4820;"SP";3412902;"COSMORAMA";41
"36";4821;"SP";3413009;"COTIA";41
"37";4822;"SP";3413108;"CRAVINHOS";41
"38";4823;"SP";3413207;"CRISTAIS PAULISTA";41
"39";4824;"SP";3409452;"CAMPINA DO MONTE ALEGRE";41
"40";4825;"SP";3409502;"CAMPINAS";41
"41";4826;"SP";3409601;"CAMPO LIMPO PAULISTA";41
"42";4827;"SP";3409700;"CAMPOS DO JORDAO";41
"43";4828;"SP";3422406;"ITAPEVA";41
"44";4829;"SP";3422505;"ITAPEVI";41
"45";4830;"SP";3422604;"ITAPIRA";41
"46";4831;"SP";3422653;"ITAPIRAPUA PAULISTA";41
"47";4832;"SP";3411300;"CEDRAL";41
"48";4833;"SP";3411409;"CERQUEIRA CESAR";41
"49";4834;"SP";3410203;"CAPAO BONITO";41
"50";4835;"SP";3457006;"VOTORANTIM";41
"51";4836;"SP";3410500;"CARAGUATATUBA";41
"52";4837;"SP";3410609;"CARAPICUIBA";41
"53";4838;"SP";3457204;"CHAVANTES";41
"54";4839;"SP";3457303;"ESTIVA GERBI";41
"55";4840;"SP";3422307;"ITAPETININGA";41
"56";4841;"SP";3412308;"CONCHAS";41
"57";4842;"SP";3441703;"QUATA";41
"58";4843;"SP";3441802;"QUEIROZ";41
"59";4844;"SP";3441901;"QUELUZ";41
"60";4845;"SP";3442008;"QUINTANA";41
"61";4846;"SP";3442107;"RAFARD";41
"62";4847;"SP";3442206;"RANCHARIA";41
"63";4848;"SP";3442305;"REDENCAO DA SERRA";41
"64";4849;"SP";3442404;"REGENTE FEIJO";41
"65";4850;"SP";3442503;"REGINOPOLIS";41
"66";4851;"SP";3416408;"FRANCO DA ROCHA";41
"67";4852;"SP";3416507;"GABRIEL MONTEIRO";41
"68";4853;"SP";3416606;"GALIA";41
"69";4854;"SP";3416705;"GARCA";41
"70";4855;"SP";3416804;"GASTAO VIDIGAL";41
"71";4856;"SP";3416853;"GAVIAO PEIXOTO";41
"72";4857;"SP";3409957;"CANAS";41
"73";4858;"SP";3410005;"CANDIDO MOTA";41
"74";4859;"SP";3410104;"CANDIDO RODRIGUES";41
"75";4860;"SP";3410153;"CANITAR";41
"76";4861;"SP";3446702;"SANTA GERTRUDES";41
"77";4862;"SP";3446801;"SANTA ISABEL";41
"78";4863;"SP";3457105;"VOTUPORANGA";41
"79";4864;"SP";3457154;"ZACARIAS";41
"80";4865;"SP";3414601;"DUMONT";41
"81";4866;"SP";3414700;"ECHAPORA";41
"82";4867;"SP";3414809;"ELDORADO";41
"83";4868;"SP";3414908;"ELIAS FAUSTO";41
"84";4869;"SP";3414924;"ELISIARIO";41
"85";4870;"SP";3414957;"EMBAUBA";41
"86";4871;"SP";3415004;"EMBU";41
"87";4872;"SP";3415103;"EMBU-GUACU";41
"88";4873;"SP";3415129;"EMILIANOPOLIS";41
"89";4874;"SP";3415152;"ENGENHEIRO COELHO";41
"90";4875;"SP";3415186;"ESPIRITO SANTO DO PINHAL";41
"91";4876;"SP";3411706;"CHARQUEADA";41
"92";4877;"SP";3411904;"CLEMENTINA";41
"93";4878;"SP";3412001;"COLINA";41
"94";4879;"SP";3412100;"COLOMBIA";41
"95";4880;"SP";3412209;"CONCHAL";41
"96";4881;"SP";3415509;"FERNANDOPOLIS";41
"97";4882;"SP";3455307;"TURMALINA";41
"98";4883;"SP";3455356;"UBARANA";41
"99";4884;"SP";3455406;"UBATUBA";41
"100";4885;"SP";3455505;"UBIRAJARA";41
"101";4886;"SP";3455604;"UCHOA";41
"102";4887;"SP";3455703;"UNIAO PAULISTA";41
"103";4888;"SP";3455802;"URANIA";41
"104";4889;"SP";3455901;"URU";41
"105";4890;"SP";3456008;"URUPES";41
"106";4891;"SP";3456107;"VALENTIM GENTIL";41
"107";4892;"SP";3456206;"VALINHOS";41
"108";4893;"SP";3456305;"VALPARAISO";41
"109";4894;"SP";3456354;"VARGEM";41
"110";4895;"SP";3456404;"VARGEM GRANDE DO SUL";41
"111";4896;"SP";3456453;"VARGEM GRANDE PAULISTA";41
"112";4897;"SP";3456503;"VARZEA PAULISTA";41
"113";4898;"SP";3456602;"VERA CRUZ";41
"114";4899;"SP";3456701;"VINHEDO";41
"115";4900;"SP";3456800;"VIRADOURO";41
"116";4901;"SP";3456909;"VISTA ALEGRE DO ALTO";41
"117";4902;"SP";3456958;"VITORIA BRASIL";41
"118";4903;"SP";3421804;"ITAI";41
"119";4904;"SP";3421903;"ITAJOBI";41
"120";4905;"SP";3422000;"ITAJU";41
"121";4906;"SP";3422109;"ITANHAEM";41
"122";4907;"SP";3422158;"ITAOCA";41
"123";4908;"SP";3422208;"ITAPECERICA DA SERRA";41
"124";4909;"SP";3446900;"SANTA LUCIA";41
"125";4910;"SP";3447007;"SANTA MARIA DA SERRA";41
"126";4911;"SP";3447106;"SANTA MERCEDES";41
"127";4912;"SP";3400105;"ADAMANTINA";41
