"";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"1";"AC";1200104;"BRASILEIA";12
"2";"AC";1200385;"PLACIDO DE CASTRO";12
"3";"AC";1200393;"PORTO WALTER";12
"4";"AC";1200054;"ASSIS BRASIL";12
"5";"AC";1200351;"MARECHAL THAUMATURGO";12
"6";"AC";1200179;"CAPIXABA";12
"7";"AC";1200138;"BUJARI";12
"8";"AC";1200013;"ACRELANDIA";12
"9";"AC";1200401;"RIO BRANCO";12
"10";"AC";1200302;"FEIJO";12
"11";"AC";1200328;"JORDAO";12
"12";"AC";1200203;"CRUZEIRO DO SUL";12
"13";"AC";1200252;"EPITACIOLANDIA";12
"14";"AC";1200500;"SENA MADUREIRA";12
"15";"AC";1200609;"TARAUACA";12
"16";"AC";1200450;"SENADOR GUIOMARD";12
"17";"AC";1200344;"MANOEL URBANO";12
"18";"AC";1200336;"MANCIO LIMA";12
"19";"AC";1200807;"PORTO ACRE";12
"20";"AC";1200435;"SANTA ROSA DO PURUS";12
"21";"AC";1200708;"XAPURI";12
"22";"AC";1200427;"RODRIGUES ALVES";12
"23";"AL";2707107;"PIRANHAS";27
"24";"AL";2707206;"POCO DAS TRINCHEIRAS";27
"25";"AL";2707305;"PORTO CALVO";27
"26";"AL";2707404;"PORTO DE PEDRAS";27
"27";"AL";2707503;"PORTO REAL DO COLEGIO";27
"28";"AL";2707602;"QUEBRANGULO";27
"29";"AL";2707701;"RIO LARGO";27
"30";"AL";2707800;"ROTEIRO";27
"31";"AL";2707909;"SANTA LUZIA DO NORTE";27
"32";"AL";2709400;"VICOSA";27
"33";"AL";2700102;"AGUA BRANCA";27
"34";"AL";2700201;"ANADIA";27
"35";"AL";2700300;"ARAPIRACA";27
"36";"AL";2700409;"ATALAIA";27
"37";"AL";2700508;"BARRA DE SANTO ANTONIO";27
"38";"AL";2700607;"BARRA DE SAO MIGUEL";27
"39";"AL";2700706;"BATALHA";27
"40";"AL";2700805;"BELEM";27
"41";"AL";2700904;"BELO MONTE";27
"42";"AL";2701001;"BOCA DA MATA";27
"43";"AL";2701100;"BRANQUINHA";27
"44";"AL";2701209;"CACIMBINHAS";27
"45";"AL";2701308;"CAJUEIRO";27
"46";"AL";2701357;"CAMPESTRE";27
"47";"AL";2701407;"CAMPO ALEGRE";27
"48";"AL";2701506;"CAMPO GRANDE";27
"49";"AL";2701605;"CANAPI";27
"50";"AL";2701704;"CAPELA";27
"51";"AL";2701803;"CARNEIROS";27
"52";"AL";2701902;"CHA PRETA";27
"53";"AL";2702009;"COITE DO NOIA";27
"54";"AL";2702108;"COLONIA LEOPOLDINA";27
"55";"AL";2702207;"COQUEIRO SECO";27
"56";"AL";2702306;"CORURIPE";27
"57";"AL";2702355;"CRAIBAS";27
"58";"AL";2702405;"DELMIRO GOUVEIA";27
"59";"AL";2702504;"DOIS RIACHOS";27
"60";"AL";2702553;"ESTRELA DE ALAGOAS";27
"61";"AL";2702603;"FEIRA GRANDE";27
"62";"AL";2702702;"FELIZ DESERTO";27
"63";"AL";2702801;"FLEXEIRAS";27
"64";"AL";2702900;"GIRAU DO PONCIANO";27
"65";"AL";2703007;"IBATEGUARA";27
"66";"AL";2703106;"IGACI";27
"67";"AL";2703205;"IGREJA NOVA";27
"68";"AL";2703304;"INHAPI";27
"69";"AL";2703403;"JACARE DOS HOMENS";27
"70";"AL";2703502;"JACUIPE";27
"71";"AL";2703601;"JAPARATINGA";27
"72";"AL";2703700;"JARAMATAIA";27
"73";"AL";2703759;"JEQUIA DA PRAIA";27
"74";"AL";2703809;"JOAQUIM GOMES";27
"75";"AL";2703908;"JUNDIA";27
"76";"AL";2704005;"JUNQUEIRO";27
"77";"AL";2704104;"LAGOA DA CANOA";27
"78";"AL";2704203;"LIMOEIRO DE ANADIA";27
"79";"AL";2704302;"MACEIO";27
"80";"AL";2704401;"MAJOR ISIDORO";27
"81";"AL";2704500;"MARAGOGI";27
"82";"AL";2704609;"MARAVILHA";27
"83";"AL";2704708;"MARECHAL DEODORO";27
"84";"AL";2704807;"MARIBONDO";27
"85";"AL";2704906;"MAR VERMELHO";27
"86";"AL";2705002;"MATA GRANDE";27
"87";"AL";2705101;"MATRIZ DE CAMARAGIBE";27
"88";"AL";2705200;"MESSIAS";27
"89";"AL";2705309;"MINADOR DO NEGRAO";27
"90";"AL";2705408;"MONTEIROPOLIS";27
"91";"AL";2705507;"MURICI";27
"92";"AL";2705606;"NOVO LINO";27
"93";"AL";2705705;"OLHO D'AGUA DAS FLORES";27
"94";"AL";2705804;"OLHO D'AGUA DO CASADO";27
"95";"AL";2705903;"OLHO D'AGUA GRANDE";27
"96";"AL";2706000;"OLIVENCA";27
"97";"AL";2706109;"OURO BRANCO";27
"98";"AL";2706208;"PALESTINA";27
"99";"AL";2706307;"PALMEIRA DOS INDIOS";27
"100";"AL";2706406;"PAO DE ACUCAR";27
"101";"AL";2706422;"PARICONHA";27
"102";"AL";2706448;"PARIPUEIRA";27
"103";"AL";2706505;"PASSO DE CAMARAGIBE";27
"104";"AL";2706604;"PAULO JACINTO";27
"105";"AL";2706703;"PENEDO";27
"106";"AL";2706802;"PIACABUCU";27
"107";"AL";2706901;"PILAR";27
"108";"AL";2707008;"PINDOBA";27
"109";"AL";2709103;"TAQUARANA";27
"110";"AL";2709152;"TEOTONIO VILELA";27
"111";"AL";2709202;"TRAIPU";27
"112";"AL";2709301;"UNIAO DOS PALMARES";27
"113";"AL";2708204;"SAO BRAS";27
"114";"AL";2708303;"SAO JOSE DA LAJE";27
"115";"AL";2708402;"SAO JOSE DA TAPERA";27
"116";"AL";2708501;"SAO LUIS DO QUITUNDE";27
"117";"AL";2708600;"SAO MIGUEL DOS CAMPOS";27
"118";"AL";2708709;"SAO MIGUEL DOS MILAGRES";27
"119";"AL";2708808;"SAO SEBASTIAO";27
"120";"AL";2708907;"SATUBA";27
"121";"AL";2708956;"SENADOR RUI PALMEIRA";27
"122";"AL";2709004;"TANQUE D'ARCA";27
"123";"AL";2708006;"SANTANA DO IPANEMA";27
"124";"AL";2708105;"SANTANA DO MUNDAU";27
"125";"AM";1300409;"BARCELOS";13
"126";"AM";1300300;"AUTAZES";13
"127";"AM";1304237;"TONANTINS";13
"128";"AM";1300508;"BARREIRINHA";13
"129";"AM";1300201;"ATALAIA DO NORTE";13
"130";"AM";1300631;"BERURI";13
"131";"AM";1304260;"UARINI";13
"132";"AM";1300607;"BENJAMIN CONSTANT";13
"133";"AM";1304203;"TEFE";13
"134";"AM";1302009;"ITAPIRANGA";13
"135";"AM";1304401;"URUCURITUBA";13
"136";"AM";1302207;"JURUA";13
"137";"AM";1301506;"ENVIRA";13
"138";"AM";1301605;"FONTE BOA";13
"139";"AM";1302108;"JAPURA";13
"140";"AM";1300706;"BOCA DO ACRE";13
"141";"AM";1300805;"BORBA";13
"142";"AM";1300839;"CAAPIRANGA";13
"143";"AM";1300904;"CANUTAMA";13
"144";"AM";1301001;"CARAUARI";13
"145";"AM";1304302;"URUCARA";13
"146";"AM";1301951;"ITAMARATI";13
"147";"AM";1303205;"NOVO AIRAO";13
"148";"AM";1303304;"NOVO ARIPUANA";13
"149";"AM";1303403;"PARINTINS";13
"150";"AM";1303502;"PAUINI";13
"151";"AM";1303536;"PRESIDENTE FIGUEIREDO";13
"152";"AM";1300680;"BOA VISTA DO RAMOS";13
"153";"AM";1303601;"SANTA ISABEL DO RIO NEGRO";13
"154";"AM";1301654;"GUAJARA";13
