"";"CO_PAIS";"NO_PAIS"
"1";0;"Não Definido"
"2";13;"Afeganistão"
"3";15;"Aland, Ilhas"
"4";17;"Albânia"
"5";20;"Alboran-Perejil, Ilhas"
"6";23;"Alemanha"
"7";25;"Alemanha Oriental"
"8";31;"Burkina Faso"
"9";37;"Andorra"
"10";40;"Angola"
"11";41;"Anguilla"
"12";42;"Antártica"
"13";43;"Antígua e Barbuda"
"14";47;"Antilhas Holandesas"
"15";53;"Arábia Saudita"
"16";59;"Argélia"
"17";63;"Argentina"
"18";64;"Armênia"
"19";65;"Aruba"
"20";69;"Austrália"
"21";72;"Áustria"
"22";73;"Azerbaijão"
"23";77;"Bahamas"
"24";80;"Barein"
"25";81;"Bangladesh"
"26";83;"Barbados"
"27";85;"Belarus"
"28";87;"Bélgica"
"29";88;"Belize"
"30";90;"Bermudas"
"31";93;"Mianmar"
"32";97;"Bolívia"
"33";98;"Bósnia-Herzegovina"
"34";99;"Bonaire, Saint Eustatius e Saba"
"35";100;"Internação na Zona Franca de Manaus"
"36";101;"Botsuana"
"37";102;"Bouvet, Ilha"
"38";105;"Brasil"
"39";108;"Brunei"
"40";111;"Bulgária"
"41";115;"Burundi"
"42";119;"Butão"
"43";127;"Cabo Verde"
"44";137;"Cayman, Ilhas"
"45";141;"Camboja"
"46";145;"Camarões"
"47";149;"Canadá"
"48";150;"Canal, Ilhas do (Guernsey)"
"49";151;"Canárias, Ilhas"
"50";152;"Canal, Ilhas do (Jersey)"
"51";153;"Cazaquistão"
"52";154;"Catar"
"53";158;"Chile"
"54";160;"China"
"55";161;"Taiwan (Formosa)"
"56";163;"Chipre"
"57";165;"Cocos (Keeling), Ilhas"
"58";169;"Colômbia"
"59";173;"Comores"
"60";177;"Congo"
"61";183;"Cook, Ilhas"
"62";187;"Coreia do Norte"
"63";190;"Coreia do Sul"
"64";193;"Costa do Marfim"
"65";195;"Croácia"
"66";196;"Costa Rica"
"67";198;"Coveite (Kuweit)"
"68";199;"Cuba"
"69";200;"Curaçao"
"70";229;"Benin"
"71";232;"Dinamarca"
"72";235;"Dominica"
"73";237;"Dubai"
"74";239;"Equador"
"75";240;"Egito"
"76";243;"Eritreia"
"77";244;"Emirados Árabes Unidos"
"78";245;"Espanha"
"79";246;"Eslovênia"
"80";247;"Eslováquia"
"81";249;"Estados Unidos"
"82";251;"Estônia"
"83";253;"Etiópia"
"84";255;"Falkland (Malvinas)"
"85";259;"Faroe, Ilhas"
"86";267;"Filipinas"
"87";271;"Finlândia"
"88";275;"França"
"89";281;"Gabão"
"90";285;"Gâmbia"
"91";289;"Gana"
"92";291;"Geórgia"
"93";292;"Geórgia do Sul e Sandwich do Sul, Ilhas"
"94";293;"Gibraltar"
"95";297;"Granada"
"96";301;"Grécia"
"97";305;"Groenlândia"
"98";309;"Guadalupe"
"99";313;"Guam"
"100";317;"Guatemala"
"101";321;"Guernsey"
"102";325;"Guiana Francesa"
"103";329;"Guiné"
"104";331;"Guiné Equatorial"
"105";334;"Guiné-Bissau"
"106";337;"Guiana"
"107";341;"Haiti"
"108";343;"Heard e ilhas mcdonald, Ilha"
"109";NA;""
"110";345;"Honduras"
"111";351;"Hong Kong"
"112";355;"Hungria"
"113";357;"Iêmen"
"114";358;"Iêmen Democrático"
"115";359;"Ilha de Man"
"116";361;"Índia"
"117";365;"Indonésia"
"118";367;"Inglaterra"
"119";369;"Iraque"
"120";372;"Irã"
"121";375;"Irlanda"
"122";379;"Islândia"
"123";383;"Israel"
"124";386;"Itália"
"125";388;"Iugoslávia"
"126";391;"Jamaica"
"127";393;"Jersey"
"128";396;"Johnston, Ilhas"
"129";399;"Japão"
"130";403;"Jordânia"
"131";411;"Kiribati"
"132";420;"Laos"
"133";423;"Lebuan, Ilhas"
"134";426;"Lesoto"
"135";427;"Letônia"
"136";431;"Líbano"
"137";434;"Libéria"
"138";438;"Líbia"
"139";440;"Liechtenstein"
"140";442;"Lituânia"
"141";445;"Luxemburgo"
"142";447;"Macau"
"143";449;"Macedônia"
"144";450;"Madagascar"
"145";452;"Madeira, Ilha da"
"146";455;"Malásia"
"147";458;"Malavi"
"148";461;"Maldivas"
"149";464;"Mali"
"150";467;"Malta"
"151";472;"Marianas do Norte, Ilhas"
"152";474;"Marrocos"
"153";476;"Marshall, Ilhas"
"154";477;"Martinica"
"155";485;"Maurício"
"156";488;"Mauritânia"
"157";489;"Mayotte"
"158";490;"Midway, Ilhas"
"159";493;"México"
"160";494;"Moldávia"
"161";495;"Mônaco"
"162";497;"Mongólia"
"163";498;"Montenegro"
"164";499;"Micronésia"
"165";501;"Montserrat"
"166";505;"Moçambique"
"167";507;"Namíbia"
"168";508;"Nauru"
"169";511;"Christmas (Navidad), Ilha"
"170";517;"Nepal"
"171";521;"Nicarágua"
"172";525;"Níger"
"173";528;"Nigéria"
"174";531;"Niue"
"175";535;"Norfolk, Ilha"
"176";538;"Noruega"
"177";542;"Nova Caledônia"
"178";545;"Papua Nova Guiné"
"179";548;"Nova Zelândia"
"180";551;"Vanuatu"
"181";556;"Omã"
"182";563;"Pacífico, Ilhas do (Administração dos EUA)"
"183";566;"Pacífico, Ilhas do (EUA)"
"184";569;"Pacífico, Ilhas do (Território Fideicomisso EUA)"
"185";573;"Países Baixos (Holanda)"
"186";575;"Palau"
"187";576;"Paquistão"
"188";578;"Palestina"
"189";580;"Panamá"
"190";583;"Papua, Território de"
"191";586;"Paraguai"
"192";589;"Peru"
"193";593;"Pitcairn"
"194";599;"Polinésia Francesa"
"195";603;"Polônia"
"196";607;"Portugal"
"197";611;"Porto Rico"
"198";623;"Quênia"
"199";625;"Quirguistão"
"200";628;"Reino Unido"
"201";640;"República Centro-Africana"
"202";647;"República Dominicana"
"203";660;"Reunião"
"204";665;"Zimbábue"
"205";670;"Romênia"
"206";675;"Ruanda"
"207";676;"Rússia"
"208";677;"Salomão, Ilhas"
"209";678;"Saint Kitts e Nevis"
"210";685;"Saara Ocidental"
"211";687;"El Salvador"
"212";690;"Samoa"
"213";691;"Samoa Americana"
"214";693;"São Bartolomeu"
"215";695;"São Cristóvão e Névis"
"216";697;"San Marino"
"217";698;"São Martinho, Ilha de (parte francesa)"
"218";699;"Sint Maarten"
"219";700;"São Pedro e Miquelon"
"220";705;"São Vicente e Granadinas"
"221";710;"Santa Helena"
"222";715;"Santa Lúcia"
"223";720;"São Tomé e Príncipe"
"224";728;"Senegal"
"225";731;"Seicheles"
"226";735;"Serra Leoa"
"227";737;"Sérvia"
"228";741;"Cingapura"
"229";744;"Síria"
"230";748;"Somália"
"231";750;"Sri Lanka"
"232";754;"Suazilândia"
"233";755;"Svalbard e Jan Mayen"
"234";756;"África do Sul"
"235";759;"Sudão"
"236";760;"Sudão do Sul"
"237";764;"Suécia"
"238";767;"Suíça"
"239";770;"Suriname"
"240";772;"Tadjiquistão"
"241";776;"Tailândia"
"242";780;"Tanzânia"
"243";781;"Terras Austrais Francesas"
"244";782;"Território Britânico do Oceano Índico"
"245";783;"Djibuti"
"246";785;"Território da Alta Comissão do Pacífico Ocidental"
"247";786;"Território Antártico Britânico"
"248";788;"Chade"
"249";790;"Tchecoslováquia"
"250";791;"Tcheca, República"
"251";795;"Timor Leste"
"252";800;"Togo"
"253";805;"Toquelau"
"254";810;"Tonga"
"255";815;"Trinidad e Tobago"
"256";820;"Tunísia"
"257";823;"Turcas e Caicos, Ilhas"
"258";824;"Turcomenistão"
"259";827;"Turquia"
"260";828;"Tuvalu"
"261";831;"Ucrânia"
"262";833;"Uganda"
"263";840;"União das Repúblicas Socialistas Soviéticas"
"264";845;"Uruguai"
"265";847;"Uzbequistão"
"266";848;"Vaticano"
"267";850;"Venezuela"
"268";858;"Vietnã"
"269";863;"Virgens, Ilhas (Britânicas)"
"270";866;"Virgens, Ilhas (Americanas)"
"271";870;"Fiji"
"272";873;"Wake, Ilha"
"273";875;"Wallis e Futuna, Ilhas"
"274";888;"Congo, República Democrática"
"275";890;"Zâmbia"
"276";895;"Zona do Canal do Panamá"
"277";990;"Provisão de Navios e Aeronaves"
"278";994;"A Designar"
"279";995;"Bancos Centrais"
"280";997;"Organizações Internacionais"
"281";998;"Sem informação"
"282";999;"Não Declarados"
