"";"Mes_Ano";"Valor Exp.";"% Exp. SP";"Valor Imp.";"% Imp. SP";"Saldo RMC";"Saldo SP"
"1";"MAR/12";494,53;"9.17%";1121,38;"15.69%";-626,85;-1757,7
"2";"MAR/13";375,44;"7.44%";1195,34;"18.34%";-819,9;-1469,86
"3";"MAR/14";337,4;"7.35%";1128,05;"17.28%";-790,65;-1936,99
"4";"MAR/15";350,81;"7.06%";1080,96;"18.15%";-730,15;-985,44
"5";"MAR/16";310,3;"6.55%";797,63;"18.64%";-487,33;460,04
"6";"MAR/17";381,63;"7.77%";915;"18.74%";-533,37;31,59
"7";"MAR/18";420,31;"6.54%";946,92;"18.07%";-526,61;1185,59
"8";"MAR/19";365,53;"9%";1011,26;"20.76%";-645,73;-808,68
"9";"MAR/20";311,6;"7.35%";1037,29;"20.69%";-725,69;-775,81
"10";"MAR/21";367,9;"7.62%";1279,05;"21.01%";-911,14;-1263,13
"11";"MAR/22";463,79;"7.4%";1429,05;"21.58%";-965,26;-351,63
