"";"NCM";"Produto";"Valor Imp. 22";"Var. % 21/22";"Grau de Complexidade"
"1";"3808";"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up in forms or packings for retail sale or as preparations or articles (for example, sulphur-treated bands, wi";393,02;"8.31%";"Média-alta"
"2";"8542";"Electronic integrated circuits.";328,6;"27.41%";"Alta"
"3";"8517";"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a lo";234,51;"10.11%";"Média-alta"
"4";"2933";"Heterocyclic compounds with nitrogen hetero-atom(s) only.";185,21;"55.82%";"Média-alta"
"5";"8473";"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.69 to 84.72.";136,15;"8.96%";"Alta"
"6";"8708";"Parts and accessories of the motor vehicles of headings 87.01 to 87.05.";123,18;"-17.62%";"Média-alta"
"7";"2931";"Other organo-inorganic compounds.";120,07;"197.52%";"Média-alta"
"8";"8541";"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-electric crystals.";104,52;"105.21%";"Média-alta"
"9";"3002";"Blood, antisera, vaccines, toxins and cultures";88,81;"21.46%";"Média-alta"
"10";"3004";"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packin";77,32;"55.76%";"Média-alta"
