"";"Pais";"Exp. 22";"Participação Exp. 22";"Var. 21/22"
"1";"Afeganistão";0;0;NA
"2";"Aland, Ilhas";0;0;NA
"3";"Albânia";0;0;NA
"4";"Alemanha";59,27;0,0508;0,1789
"5";"Andorra";0;0;NA
"6";"Angola";4,39;0,0038;3,077
"7";"Anguilla";0;0;NA
"8";"Antígua e Barbuda";0,03;0;1,065
"9";"Arábia Saudita";0,29;3e-04;-0,7343
"10";"Argélia";0,14;1e-04;1,0788
"11";"Argentina";227,96;0,1953;0,1703
"12";"Armênia";NA;NA;NA
"13";"Aruba";0;0;0,3504
"14";"Austrália";6,07;0,0052;0,0815
"15";"Áustria";1,28;0,0011;-0,368
"16";"Azerbaijão";0;0;-1
"17";"Bahamas";0,01;0;0,5339
"18";"Barein";0,01;0;-0,509
"19";"Bangladesh";1,05;9e-04;1,3754
"20";"Barbados";0,48;4e-04;-0,0338
"21";"Belarus";0;0;-1
"22";"Bélgica";52,62;0,0451;0,2182
"23";"Belize";0,05;0;4,5164
"24";"Bermudas";NA;NA;NA
"25";"Mianmar";0;0;Inf
"26";"Bolívia";18,24;0,0156;0,6928
"27";"Bósnia-Herzegovina";0;0;-1
"28";"Botsuana";0;0;NA
"29";"Brasil";0;0;NA
"30";"Bulgária";0,13;1e-04;Inf
"31";"Cabo Verde";0,06;1e-04;0,3568
"32";"Cayman, Ilhas";NA;NA;NA
"33";"Camboja";0;0;NA
"34";"Camarões";0,14;1e-04;-0,8384
"35";"Canadá";4,76;0,0041;0,7918
"36";"Cazaquistão";0,54;5e-04;Inf
"37";"Catar";0,72;6e-04;0,2894
"38";"Chile";72,05;0,0617;0,2336
"39";"China";80,72;0,0692;2,0733
"40";"Taiwan (Formosa)";0,79;7e-04;-0,4449
"41";"Chipre";0,01;0;0,0935
"42";"Colômbia";64,86;0,0556;0,4733
"43";"Congo";0,4;3e-04;1,4048
"44";"Coreia do Sul";7,79;0,0067;0,7984
"45";"Costa do Marfim";1,32;0,0011;2,1436
"46";"Croácia";0;0;Inf
"47";"Costa Rica";5,02;0,0043;-0,0569
"48";"Coveite (Kuweit)";0,01;0;-0,8084
"49";"Cuba";0,1;1e-04;-0,763
"50";"Curaçao";0,23;2e-04;-0,2269
"51";"Benin";NA;NA;NA
"52";"Dinamarca";0,58;5e-04;1,3003
"53";"Dominica";0;0;NA
"54";"Equador";16,62;0,0142;0,0668
"55";"Egito";1,07;9e-04;-0,4563
"56";"Emirados Árabes Unidos";1,22;0,001;-0,3689
"57";"Espanha";4,98;0,0043;0,0876
"58";"Eslovênia";0,01;0;13452
"59";"Eslováquia";0,35;3e-04;-0,3329
"60";"Estados Unidos";171,22;0,1467;0,2057
"61";"Estônia";0,04;0;-0,2085
"62";"Etiópia";0,01;0;-0,6428
"63";"Faroe, Ilhas";NA;NA;NA
"64";"Filipinas";0,64;5e-04;-0,1351
"65";"Finlândia";2,13;0,0018;1,3109
"66";"França";10,15;0,0087;0,2624
"67";"Gabão";0,16;1e-04;0,1006
"68";"Gâmbia";0;0;-1
"69";"Gana";0,01;0;-0,9866
"70";"Geórgia";0;0;NA
"71";"Granada";0,01;0;-0,3674
"72";"Grécia";0,35;3e-04;-0,5533
"73";"Guadalupe";0;0;-0,4738
"74";"Guatemala";5,57;0,0048;0,2468
"75";"Guiana Francesa";NA;NA;NA
"76";"Guiné";0,04;0;NA
"77";"Guiné-Bissau";0,04;0;NA
"78";"Guiana";0,16;1e-04;0,9984
"79";"Haiti";0,14;1e-04;0,1268
"80";"Honduras";4,89;0,0042;0,5173
"81";"Hong Kong";1,36;0,0012;-0,1617
"82";"Hungria";0,41;4e-04;-0,6068
"83";"Índia";8,2;0,007;-0,1935
"84";"Indonésia";2,24;0,0019;-0,3114
"85";"Iraque";0,27;2e-04;2,9382
"86";"Irã";0;0;NA
"87";"Irlanda";0,16;1e-04;0,2621
"88";"Islândia";0;0;NA
"89";"Israel";1,67;0,0014;0,6837
"90";"Itália";12,77;0,0109;-0,197
"91";"Jamaica";0,75;6e-04;0,3804
"92";"Japão";1,71;0,0015;-0,3131
"93";"Jordânia";0,1;1e-04;-0,4203
"94";"Laos";0;0;NA
"95";"Letônia";0;0;-1
"96";"Líbano";0,03;0;-0,2053
"97";"Libéria";0,02;0;-0,8567
"98";"Líbia";0,07;1e-04;0,2987
"99";"Liechtenstein";0;0;NA
"100";"Lituânia";0,09;1e-04;29,5873
"101";"Luxemburgo";6,43;0,0055;0,813
"102";"Macau";NA;NA;NA
"103";"Macedônia";0,01;0;0,7568
"104";"Madagascar";0;0;NA
"105";"Malásia";6,91;0,0059;0,4507
"106";"Mali";NA;NA;NA
"107";"Malta";0;0;-0,7371
"108";"Marrocos";0,23;2e-04;-0,7265
