"";"Municipio";"Valor Exportado";"% Exp. RMC";"Valor Importado";"% Imp. RMC";"Saldo"
"1";"AMERICANA";564,91;0,1143;407,55;0,0261;157,36
"2";"ARTUR NOGUEIRA";17,47;0,0035;63,67;0,0041;-46,2
"3";"CAMPINAS";851,76;0,1724;3075,54;0,197;-2223,78
"4";"COSMOPOLIS";165,3;0,0335;98,81;0,0063;66,49
"5";"ENGENHEIRO COELHO";0,18;0;6,44;4e-04;-6,26
"6";"HOLAMBRA";3,15;6e-04;48,77;0,0031;-45,62
"7";"HORTOLANDIA";64,91;0,0131;1019,67;0,0653;-954,76
"8";"INDAIATUBA";730,2;0,1478;1445,04;0,0926;-714,84
"9";"ITATIBA";143,83;0,0291;378,87;0,0243;-235,04
"10";"JAGUARIUNA";46,58;0,0094;1123,47;0,072;-1076,89
"11";"MONTE MOR";85,02;0,0172;146,5;0,0094;-61,48
"12";"MORUNGABA";1,6;3e-04;8,82;6e-04;-7,22
"13";"NOVA ODESSA";92,35;0,0187;86,71;0,0056;5,64
"14";"PAULINIA";849,3;0,1719;4733,56;0,3032;-3884,26
"15";"PEDREIRA";38,38;0,0078;7,6;5e-04;30,78
"16";"SANTA BARBARA D'OESTE";257,36;0,0521;220;0,0141;37,36
"17";"SANTO ANTONIO DE POSSE";155,53;0,0315;163,53;0,0105;-8
"18";"SUMARE";394,63;0,0799;1155,3;0,074;-760,67
"19";"VALINHOS";129,52;0,0262;485,45;0,0311;-355,93
"20";"VINHEDO";348,68;0,0706;937,63;0,0601;-588,95
