"";"Municipio";"Valor Exportado";"% Exp. RMC";"Valor Importado";"% Imp. RMC";"Saldo"
"1";"CAMPINAS";851,76;"17.24%";3075,54;"19.7%";-2223,78
"2";"PAULINIA";849,3;"17.19%";4733,56;"30.32%";-3884,26
"3";"INDAIATUBA";730,2;"14.78%";1445,04;"9.26%";-714,84
"4";"AMERICANA";564,91;"11.43%";407,55;"2.61%";157,36
"5";"SUMARE";394,63;"7.99%";1155,3;"7.4%";-760,67
"6";"VINHEDO";348,68;"7.06%";937,63;"6.01%";-588,95
"7";"SANTA BARBARA D'OESTE";257,36;"5.21%";220;"1.41%";37,36
"8";"COSMOPOLIS";165,3;"3.35%";98,81;"0.63%";66,49
"9";"SANTO ANTONIO DE POSSE";155,53;"3.15%";163,53;"1.05%";-8
"10";"ITATIBA";143,83;"2.91%";378,87;"2.43%";-235,04
"11";"VALINHOS";129,52;"2.62%";485,45;"3.11%";-355,93
"12";"NOVA ODESSA";92,35;"1.87%";86,71;"0.56%";5,64
"13";"MONTE MOR";85,02;"1.72%";146,5;"0.94%";-61,48
"14";"HORTOLANDIA";64,91;"1.31%";1019,67;"6.53%";-954,76
"15";"JAGUARIUNA";46,58;"0.94%";1123,47;"7.2%";-1076,89
"16";"PEDREIRA";38,38;"0.78%";7,6;"0.05%";30,78
"17";"ARTUR NOGUEIRA";17,47;"0.35%";63,67;"0.41%";-46,2
"18";"HOLAMBRA";3,15;"0.06%";48,77;"0.31%";-45,62
"19";"MORUNGABA";1,6;"0.03%";8,82;"0.06%";-7,22
"20";"ENGENHEIRO COELHO";0,18;"0%";6,44;"0.04%";-6,26
